시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,수지구,신봉동,A44853609,동일하이빌4단지,아파트,경기도 용인수지구 신봉동 976 동일하이빌4단지,경기도 용인시 수지구 신봉3로12번길 9,20101004,13,636,1219.0,0.0,1219.0
용인시,수지구,풍덕천동,A10027717,래미안수지이스트파크,아파트,경기도 용인수지구 풍덕천동 1198 래미안수지이스트파크,경기도 용인시 수지구 신수로683번길 19,20151029,11,845,1074.0,0.0,1074.0
용인시,수지구,동천동,A44812002,보뜨랑마을벽산블루밍,아파트,경기도 용인수지구 동천동 912 보뜨랑마을벽산블루밍,경기도 용인시 수지구 신수로783번길 50,20041112,3,182,192.0,37.0,155.0
용인시,기흥구,공세동,A44695002,호수청구,아파트,경기도 용인기흥구 공세동 382-1 호수청구,경기도 용인시 기흥구 공세로 226,19971114,7,498,364.0,167.0,197.0
용인시,기흥구,고매동,A44673204,용인세원,아파트,경기도 용인기흥구 고매동 385-1 용인세원,경기도 용인시 기흥구 공세로 76,19930501,2,320,308.0,159.0,149.0
용인시,기흥구,마북동,A44677208,교동마을정광,아파트,경기도 용인기흥구 마북동 204-5 교동마을정광,경기도 용인시 기흥구 마북로154번길 16,19971103,6,478,490.0,249.0,241.0
용인시,수지구,풍덕천동,A44817101,수지건영,아파트,경기도 용인수지구 풍덕천동 694 수지건영,경기도 용인시 수지구 수풍로23번길 25,19950224,3,190,195.0,111.0,84.0
용인시,수지구,신봉동,A44853606,신봉센트레빌1단지,아파트,경기도 용인수지구 신봉동 959 신봉센트레빌1단지,경기도 용인시 수지구 신봉1로172번길 8,20100503,5,298,267.0,5.0,262.0
용인시,기흥구,서천동,A10026701,용인서천효성해링턴플레이스,아파트,경기도 용인기흥구 서천동 834 용인서천효성해링턴플레이스,경기도 용인시 기흥구 서그내로 31,20171101,7,458,541.0,0.0,541.0
용인시,수지구,상현동,A44851707,만현마을1단지롯데캐슬,아파트,경기도 용인수지구 상현동 859 만현마을1단지롯데캐슬,경기도 용인시 수지구 만현로 25,20020918,12,992,1562.0,555.0,1007.0
용인시,기흥구,상하동,A44691401,지석마을진흥더루벤스1단지,아파트,경기도 용인기흥구 상하동 659 지석마을진흥더루벤스1단지,경기도 용인시 기흥구 중부대로746번길 20,20081231,4,200,460.0,53.0,407.0
